A-0.6	Accessible Canada Act
SOR-2023-5	(LongTitle) Order Revoking the New Brunswick Translated Documents Regulations, SOR/93-9
SOR-2023-63	(LongTitle) Northwest Atlantic Fisheries Organization Privileges and Immunities Order, 2023
SOR-2023-73	(LongTitle) By-laws of the College of Patent Agents and Trademark Agents
SOR-2023-83	(LongTitle) Associate Judges (Federal Court) Regulations
SOR-2023-84	(LongTitle) Associate Judges (Tax Court of Canada) Regulations
SOR-2024-102	(LongTitle) Order Exempting Kapisikama Lake, Located in Quebec, from the Application of Section 23 of the Canadian Navigable Waters Act
SOR-2024-110	(LongTitle) Biocides Regulations
SOR-2024-114	(LongTitle) Criminal Interest Rate Regulations
SOR-2024-116	(LongTitle) Order Grouping Ministers’ Offices for the Purpose of a Pay Equity Plan
SOR-2024-117	(LongTitle) Application of the Pay Equity Act to Ministers’ Offices Regulations
SOR-2024-119	(LongTitle) Royal Canadian Mounted Police (Dependants) Pension Fund Increase in Benefits Order
SOR-2024-122	(LongTitle) is Marine Protected Area Regulations
SOR-2024-125	(LongTitle) CTMA Ranger Remission Order
SOR-2024-126	(LongTitle) North Atlantic Treaty Organisation Privileges and Immunities Order
SOR-2024-132	(LongTitle) Feeds Regulations, 2024
SOR-2024-133	(LongTitle) Marine Safety Management System Regulations
SOR-2024-148	(LongTitle) Canadian Navigable Waters Act Fees Regulations
SOR-2024-150	(LongTitle) Form of Proxy (Banks and Bank Holding Companies) Regulations, 2023
SOR-2024-157	(LongTitle) Real Property (GST/HST) Regulations
SOR-2024-1597	(LongTitle) Digital Services Tax Regulations
SOR-2024-165	(LongTitle) Order No. 2 Designating the Tuvaijuittuq Marine Protected Area
SOR-2024-169	(LongTitle) Supplementary Rules Respecting Nicotine Replacement Therapies Order
SOR-2024-16	(LongTitle) Locally Engaged Staff Employment Regulations, 2024
SOR-2024-17	(LongTitle) Special Economic Measures (Hamas Terrorist Attacks) Regulations
SOR-2024-187	(LongTitle) China Surtax Order (2024)
SOR-2024-18	(LongTitle) Special Economic Measures (Hamas Terrorist Attacks) Permit Authorization Order
SOR-2024-195	(LongTitle) Critical Habitat of the Spotted Gar (Lepisosteus oculatus) Order
SOR-2024-208	(LongTitle) Shipment by Post of Certain Prohibited Firearms and Prohibited Devices by Certain Businesses Regulations
SOR-2024-209	(LongTitle) Ministerial Conference on the Human Dimension of Ukraine’s 10-Point Peace Formula Privileges and Immunities Order
SOR-2024-217	(LongTitle) Tents Regulations
SOR-2024-21	(LongTitle) Critical Habitat of the White Sturgeon (Acipenser transmontanus) Nechako River Population Order
SOR-2024-220	(LongTitle) Canadian Industrial Hemp Promotion-Research Agency Proclamation
SOR-2024-230	(LongTitle) National Parks of Canada Land Use Planning Regulations
SOR-2024-237	(LongTitle) Possession and Export of Elvers Regulations
SOR-2024-23	(LongTitle) Special Economic Measures (Guatemala) Regulations
SOR-2024-249	(LongTitle) Order Declaring an Amnesty Period (2024)
SOR-2024-24	(LongTitle) Special Economic Measures (Guatemala) Permit Authorization Order
SOR-2024-25	(LongTitle) Canada–Newfoundland and Labrador Offshore Area Petroleum Operations Framework Regulations
SOR-2024-263	(LongTitle) Clean Electricity Regulations
SOR-2024-269	(LongTitle) Order Declaring that the Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations Do Not Apply in Saskatchewan, 2025
SOR-2024-26	(LongTitle) Canada–Nova Scotia Offshore Area Petroleum Operations Framework Regulations
SOR-2024-270	(LongTitle) Order Declaring that the Regulations Respecting Reduction in the Release of Methane and Certain Volatile Organic Compounds (Upstream Oil and Gas Sector) Do Not Apply in Saskatchewan, 2025
SOR-2024-272	(LongTitle) Canada Offshore Renewable Energy Regulations
SOR-2024-283	(LongTitle) Preclearance in the United States Regulations
SOR-2024-42	(LongTitle) Financial Security (Electronic Means) Regulations
SOR-2024-46	(LongTitle) Broadcasting Fees Regulations
SOR-2024-48	(LongTitle) Fourth Session of the Intergovernmental Negotiating Committee on Plastic Pollution (Ottawa 2024 – INC-4) Privileges and Immunities Order
SOR-2024-61	(LongTitle) Special Economic Measures (Sudan) Regulations
SOR-2024-62	(LongTitle) Special Economic Measures (Sudan) Permit Authorization Order
SOR-2024-66	(LongTitle) Approved Screening Devices Order
SOR-2024-68	(LongTitle) CUFTA Rules of Origin Regulations
SOR-2024-70	(LongTitle) Excise Duties on Vaping Products Regulations
SOR-2024-71	(LongTitle) Bank for International Settlements Privileges and Immunities Order
SOR-2024-7	(LongTitle) Radiocommunication Act Exemption Order (Jammers — Department of National Defence and Canadian Forces)
SOR-2024-88	(LongTitle) Marketing Authorization for Vitamin D in Yogurt and Kefir
SOR-2024-89	(LongTitle) Marketing Authorization to Permit a Lower Calcium Threshold for Exemptions from the Requirement for Prepackaged Products to Carry a Nutrition Symbol in the Case of Cheese, Yogurt, Kefir and Buttermilk
SOR-2024-91	(LongTitle) Special Economic Measures (Extremist Settler Violence) Regulations
SOR-2024-92	(LongTitle) Special Economic Measures (Extremist Settler Violence) Permit Authorization Order
SOR-2024-94	(LongTitle) Radiocommunication Act Exemption Order (Jammers — Royal Canadian Mounted Police)
SOR-2025-118	(LongTitle) United States Surtax Order (Motor Vehicles 2025)
SOR-2025-122	(LongTitle) United States Surtax Remission Order (2025)
SOR-2025-12	(LongTitle) China Surtax Remission Order (2024)
SOR-2025-148	(LongTitle) Order Imposing a Surtax on the Importation of Certain Steel Goods
SOR-2025-154	(LongTitle) Steel Goods and Aluminum Goods Surtax Order
SOR-2025-15	(LongTitle) United States Surtax Order (2025)
SOR-2025-25	(LongTitle) Eligibility of Certain Former Members of the Canadian Forces Regulations
SOR-2025-29	(LongTitle) Order Respecting the Seizure of Property Situated in Canada (Aircraft RA-82078)
SOR-2025-35	(LongTitle) Canada Disability Benefit Regulations
SOR-2025-36	(LongTitle) Certain Products Containing Toxic Substances Regulations
SOR-2025-37	(LongTitle) Order Declaring that the Regulations Respecting Reduction in the Release of Methane and Certain Volatile Organic Compounds (Upstream Oil and Gas Sector) Do Not Apply in British Columbia, 2025
SOR-2025-42	(LongTitle) Canada’s 2025 G7 Presidency Privileges and Immunities Order
SOR-2025-46	(LongTitle) Rules of Practice and Procedure of the Chief Military Judge
SOR-2025-4	(LongTitle) Critical Habitat of the Redside Dace (Clinostomus elongatus) Order
SOR-2025-50	(LongTitle) Special Economic Measures Permit Authorization Order
SOR-2025-51	(LongTitle) Cost Recovery (Online News Act) Regulations
SOR-2025-60	(LongTitle) Order Designating Certain Excluded Classes of Projects
SOR-2025-61	(LongTitle) General Permit Allowing Specified Activities and Transactions that Are Prohibited Under the Special Economic Measures (Syria) Regulations
SOR-2025-63	(LongTitle) Radiocommunication Act Exemption Order (Jammers — Certain Correctional Services)
SOR-2025-66	(LongTitle) United States Surtax Order (2025-1)
SOR-2025-67	(LongTitle) Proceeds of Crime (Money Laundering) and Terrorist Financing Reporting of Goods Regulations
SOR-2025-74	(LongTitle) Employment Insurance Board of Appeal Regulations
SOR-2025-80	(LongTitle) Tobacco Charges Regulations
SOR-2025-87	(LongTitle) Order Declaring an Amnesty Period (2025)
SOR-2025-88	(LongTitle) Reduction in the Release of Volatile Organic Compounds (Storage and Loading of Volatile Petroleum Liquids) Regulations
SOR-2025-93	(LongTitle) Order Establishing Supplementary Rules Respecting the Sale of Natural Health Products Containing Ephedrine or Pseudoephedrine
SOR-2025-94	(LongTitle) Exemption Order in Respect of Labelling Requirements for Certain Natural Health Products
SOR-2025-95	(LongTitle) United States Surtax Order (Steel and Aluminum 2025)
SOR-49-42	Regulations re school fees and transportation costs for children of certain Government employees
SOR-51-84	(LongTitle) Application of Defence Services Pension Act to Special Force
SOR-54-578	War Claims Regulations
SOR-54-743	Dominion Succession Duty Regulations
SOR-55-416	Defence Services Pension Part V Regulations
SOR-56-290	Saskatchewan Penitentiary proclaimed a penitentiary for Alberta and Saskatchewan
SOR-57-176	Joyceville Institution Proclaimed a Penitentiary for Ontario
SOR-57-216	Dominion Succession Duty (1957) Regulations
SOR-58-417	Pension Increase Regulations, 1958
SOR-60-481	(LongTitle) Quebec Apple Growers’ Marketing Order
SOR-61-378	Agassiz Correctional Camp, Petawawa Correctional Camp and Gatineau Correctional Camp Lands Proclaimed Penitentiaries
SOR-61-472	C.O.T.C. Pension Regulations
SOR-61-507	Canadian Arsenals Pension Regulations
SOR-62-1	(LongTitle) Ontario Onion Growers’ Marketing Order
SOR-62-91	(LongTitle) Support Organizations Superannuation Regulations
SOR-64-444	(LongTitle) Canadian Forces Compulsory Early Superannuation Regulations
SOR-65-262	(LongTitle) Pensionable Service Order
SOR-65-410	Transitional Assistance Benefit Regulations
SOR-66-506	Foreign Claims (Bulgaria) Settlement Regulations
SOR-66-78	Canadian Forces Superannuation Special Election Regulations
SOR-67-346	Canadian Vickers Dry Dock Regulations
SOR-67-56	Sydney Pilots’ Pension Regulations
SOR-67-619	Pay and Allowances Regulations (DSPCA)
SOR-70-527	Foreign Claims (Hungary) Settlement Regulations
SOR-72-395	Foreign Claims (Poland) Settlement Regulations
SOR-72-90	Foreign Claims (Romania) Settlement Regulations
SOR-72-91	Romania Claims Fund Regulations
SOR-73-558	Rosabel Jeanette Pryce Housing Regulations
SOR-73-681	Foreign Claims (Czechoslovakia) Settlement Regulations
SOR-73-71	Yukon Territory Pension Regulations
SOR-74-431	Teslin Exploration Limited Order
SOR-75-24	Home Buyer Grant Regulations
SOR-76-40	Astoria River Water Power Regulations
SOR-77-664	Horseshoe Falls Water Power Regulations
SOR-77-665	Kananaskis Falls Water Power Regulations
SOR-78-136	Winter Pears Stabilization Regulations
SOR-78-145	Protection of Personal Information Regulations
SOR-78-148	(LongTitle) Special Voting Rules
SOR-78-151	Sweet Cherry Stabilization Regulations
SOR-78-168	Apricot Stabilization Regulations, 1977
SOR-78-204	Beef Calf Stabilization Regulations
SOR-78-213	National Parks General Regulations
SOR-78-21	Indian Economic Development Guarantee Order
SOR-78-22	Indian Economic Development Direct Loan Order
SOR-78-286	Railway Passenger Services Contract Regulations
SOR-78-307	Ontario Fresh Grape Information (Interprovincial and Export) Regulations
SOR-78-373	Canadian Manufactured Goods Exported Drawback Regulations
SOR-78-384	(LongTitle) General Import Permit No. 19
SOR-78-415	Canada Cycle and Motor Company Limited Enterprise Development Regulations
SOR-78-417	Arctic Waters Experimental Pollution Regulations, 1978
SOR-78-442	Prairie Farm Rehabilitation Administration Employees Regulations
SOR-78-443	(LongTitle) Newfoundland and Labrador Fishery Regulations
SOR-78-444	British Columbia Mushroom Order
SOR-78-445	Potato Stabilization Regulations, 1977
SOR-78-509	Industrial Milk and Cream Stabilization 1978-79 Regulations
SOR-78-587	Federal-Provincial Fiscal Arrangements and Established Programs Financing Regulations, 1977
SOR-78-609	White Pea Bean Stabilization 1977 Regulations
SOR-78-657	Sept-Iles Airport Zoning Regulations
SOR-78-68	Rules of the Court of Appeals for the Northwest Territories as to A. Criminal Appeals B. Bail on Appeals
SOR-78-73	Canada Shipping Act Gold Franc Conversion Regulations
SOR-78-748	I.C.S.P.R.C.P. Status Order
SOR-78-767	(LongTitle) Fishing and Recreational Harbours Regulations
SOR-78-771	Charlo Airport Zoning Regulations
SOR-78-793	FAO Privileges and Immunities Order
SOR-78-830	Wood Buffalo National Park Game Regulations
SOR-78-859	Ontario Asparagus Growers’ Marketing-for-Processing Order
SOR-78-860	Ontario Vegetable Growers’ Marketing-for-Processing Order
SOR-79-101	Specification 112 and 114 Tank Cars Regulations
SOR-79-108	Wheat Stabilization 1977 Regulations
SOR-79-143	Apple Stabilization 1977 Regulations
SOR-79-154	Port Wardens Tariff
SOR-79-158	(LongTitle) Chicken Farmers of Canada Proclamation
SOR-79-15	Handling of Carloads of Explosives on Railway Trackage Regulations
SOR-79-276	Yellow Seed Onion Stabilization 1977 Regulations
SOR-79-319	Toll Information Regulations
SOR-79-373	Government Airport Concession Operations Regulations
SOR-79-379	Sugar Beet Stabilization Regulations, 1977
SOR-79-398	(LongTitle) National Parks of Canada Cottages Regulations
SOR-79-416	Foreign Ownership of Land Regulations
SOR-79-418	Ontario Pork Producers’ Marketing Order
SOR-79-430	Broadcasting Industry Commission Salesmen Hours of Work Regulations
SOR-79-476	Corn Stabilization Regulations, 1977-78
SOR-79-477	Industrial Milk and Cream Stabilization 1979-80 Regulations
SOR-79-538	Consolidated Regulations Delivery Regulations
SOR-79-542	Barley Stabilization Regulations, 1977-78
SOR-79-554	CRTC Telecommunications Rules of Procedure
SOR-79-555	CRTC Tariff Regulations
SOR-79-5	Import Permits Regulations
SOR-79-613	Canada Gazette (1978) Special Issue Regulations
SOR-79-678	Ontario Tender Fruit Order
SOR-79-727	Quebec Hog Marketing Order
SOR-79-72	Import of Chickens Permit
SOR-79-732	Hazardous Products (Cellulose Insulation) Regulations
SOR-79-817	By-laws Nos. 6 and 8 of VIA Rail Canada Inc.
SOR-79-818	British Columbia Tree Fruit Order
SOR-79-82	Canada Oil and Gas Drilling Regulations
SOR-79-840	Dairy Products Regulations
SOR-80-127	(LongTitle) National Parks of Canada Camping Regulations
SOR-80-167	Yellow Seed Onion Stabilization 1978 Regulations
SOR-80-175	Ontario Asparagus Pricing (Interprovincial and Export) Regulations
SOR-80-176	Ontario Asparagus Marketing (Interprovincial and Export) Regulations
SOR-80-182	Livestock Pedigree Associations Winding-up Regulations
SOR-80-183	Ontario Soya-Bean Order
SOR-80-217	(LongTitle) National Parks of Canada Garbage Regulations
SOR-80-260	Golden Nematode Order
SOR-80-310	Railway Costing Regulations
SOR-80-325	Trident Aircraft Ltd. Regulations
SOR-80-328	Ontario Soya-Bean Marketing Levies Order
SOR-80-336	Industrial Milk and Cream Stabilization 1980-81 Regulations
SOR-80-337	Customs Drawback on Toy Skins Regulations
SOR-80-352	Manitoba Pullet Order
SOR-80-482	Details of Maps, Plans, Profiles, Drawings, Specifications and Books of Reference Regulations
SOR-80-515	Hog Stabilization 1979-80 Regulations
SOR-80-531	Manitoba Pullet Marketing Administration Levies Order
SOR-80-55	Potato Stabilization Regulations, 1978
SOR-80-587	Greenhouse Cucumber Stabilization Regulations, 1979
SOR-80-629	(LongTitle) Determining that the Canada Development Corporation Need Not Apply for a Certificate of Continuance Under the Act
SOR-80-647	British Columbia Mushroom Marketing (Interprovincial and Export) Regulations
SOR-80-64	Northwest Atlantic Fisheries Organization Privileges and Immunities Order
SOR-80-686	Immigration Investigation Regulations
SOR-80-68	Canadian Human Rights Benefit Regulations
SOR-80-726	New Brunswick Potato Order
SOR-80-748	Railway-Highway Crossing at Grade Regulations
SOR-80-76	White Pea Bean Stabilization 1978 Regulations
SOR-80-803	Comox Airport Zoning Regulations
SOR-80-810	Hazardous Products (Mattresses) Regulations
SOR-80-82	Cheese Stabilization Regulations, 1979-80
SOR-80-831	Carbonated Beverage Glass Containers Regulations
SOR-80-902	Vancouver International Airport Zoning Regulations
SOR-80-946	(LongTitle) National Parks of Canada Fire Protection Regulations
SOR-80-957	(LongTitle) Determining that Telesat Canada Need Not Apply for a Certificate of Continuance Under the Act
